iter	Passed	Remaining
400	29775	22201
401	29860	22135
402	29933	22060
403	30015	21991
404	30098	21923
405	30178	21853
406	30273	21793
407	30338	21712
408	30416	21641
409	30506	21577
410	30586	21507
411	30671	21439
412	30766	21380
413	30836	21302
414	30901	21221
415	31022	21178
416	31095	21102
417	31192	21043
418	31268	20970
419	31336	20890
420	31422	20823
421	31505	20754
422	31574	20676
423	31644	20598
424	31727	20529
425	31799	20453
426	31875	20379
427	31948	20303
428	32021	20228
429	32097	20154
430	32163	20074
431	32249	20006
432	32317	19927
433	32405	19861
434	32480	19787
435	32560	19715
436	32655	19652
437	32736	19582
438	32805	19504
439	32885	19432
440	32959	19357
441	33024	19276
442	33096	19200
443	33168	19124
444	33243	19049
445	33330	18981
446	33406	18907
447	33477	18831
448	33569	18765
449	33646	18692
450	33743	18630
451	33828	18560
452	33913	18491
453	33986	18415
454	34071	18346
455	34164	18280
456	34236	18204
457	34300	18123
458	34391	18057
459	34457	17977
460	34525	17899
461	34612	17830
462	34716	17770
463	34797	17698
464	34870	17622
465	34952	17551
466	35027	17476
467	35113	17406
468	35200	17337
469	35271	17260
470	35358	17191
471	35444	17121
472	35532	17052
473	35613	16980
474	35689	16905
475	35782	16838
476	35868	16768
477	35942	16692
478	36042	16629
479	36120	16555
480	36204	16484
481	36314	16424
482	36391	16349
483	36475	16278
484	36553	16203
485	36622	16125
486	36698	16050
487	36787	15981
488	36858	15904
489	36978	15847
490	37048	15770
491	37115	15691
492	37187	15614
493	37259	15537
494	37343	15465
495	37416	15388
496	37501	15317
497	37559	15235
498	37631	15158
499	37710	15084
500	37799	15014
501	37880	14940
502	37953	14864
503	38041	14793
504	38115	14717
505	38181	14638
506	38258	14563
507	38326	14485
508	38407	14412
509	38470	14332
510	38538	14253
511	38599	14173
512	38681	14100
513	38748	14021
514	38834	13950
515	38897	13870
516	38988	13800
517	39069	13727
518	39139	13649
519	39205	13571
520	39266	13490
521	39316	13406
522	39370	13324
523	39431	13244
524	39504	13168
525	39579	13092
526	39659	13019
527	39718	12938
528	39803	12866
529	39875	12790
530	39942	12712
531	40018	12637
532	40082	12558
533	40160	12484
534	40230	12407
535	40306	12332
536	40366	12252
537	40440	12177
538	40517	12102
539	40588	12026
540	40671	11953
541	40743	11877
542	40825	11804
543	40890	11726
544	40946	11645
545	41028	11572
546	41109	11498
547	41184	11423
548	41247	11344
549	41323	11270
550	41407	11197
551	41485	11122
552	41552	11045
553	41613	10966
554	41691	10892
555	41768	10817
556	41857	10746
557	41939	10672
558	42015	10597
559	42098	10524
560	42161	10446
561	42249	10374
562	42341	10303
563	42418	10228
564	42491	10152
565	42578	10080
566	42650	10004
567	42737	9932
568	42803	9854
569	42875	9778
570	42962	9705
571	43035	9630
572	43110	9555
573	43188	9480
574	43279	9408
575	43358	9334
576	43421	9256
577	43494	9180
578	43555	9102
579	43635	9028
580	43718	8954
581	43799	8880
582	43862	8802
583	43937	8727
584	44009	8651
585	44087	8576
586	44171	8503
587	44239	8426
588	44311	8350
589	44387	8275
590	44473	8202
591	44555	8128
592	44617	8050
593	44691	7975
594	44765	7899
595	44838	7824
596	44914	7749
597	44978	7671
598	45058	7597
599	45125	7520
600	45198	7445
601	45282	7371
602	45358	7296
603	45427	7220
604	45490	7143
605	45564	7067
606	45637	6992
607	45710	6916
608	45785	6841
609	45865	6766
610	45921	6689
611	46016	6616
612	46089	6541
613	46159	6465
614	46240	6390
615	46303	6314
616	46375	6238
617	46447	6162
618	46539	6089
619	46605	6013
620	46686	5939
621	46746	5862
622	46820	5786
623	46898	5712
624	46960	5635
625	47031	5559
626	47106	5484
627	47178	5409
628	47295	5338
629	47373	5263
630	47446	5188
631	47514	5112
632	47586	5036
633	47653	4960
634	47741	4886
635	47811	4811
636	47890	4736
637	47981	4662
638	48068	4588
639	48154	4514
640	48231	4439
641	48318	4365
642	48405	4291
643	48485	4216
644	48577	4142
645	48655	4067
646	48781	3996
647	48873	3921
648	48947	3846
649	49029	3771
650	49118	3697
651	49197	3621
652	49277	3546
653	49360	3471
654	49451	3397
655	49534	3322
656	49602	3246
657	49684	3171
658	49772	3096
659	49849	3021
660	49932	2946
661	50001	2870
662	50094	2795
663	50179	2720
664	50260	2645
665	50344	2570
666	50426	2494
667	50515	2419
668	50585	2344
669	50663	2268
670	50747	2193
671	50818	2117
672	50886	2041
673	50968	1966
674	51057	1891
675	51166	1816
676	51254	1741
677	51327	1665
678	51391	1589
679	51478	1514
680	51566	1438
681	51651	1363
682	51733	1287
683	51806	1211
684	51878	1136
685	51963	1060
686	52052	984
687	52137	909
688	52213	833
689	52304	758
690	52402	682
691	52488	606
692	52581	531
693	52656	455
694	52740	379
695	52822	303
696	52896	227
697	52975	151
698	53048	75
699	53144	0
