iter	Logloss
0	0.5415514027
1	0.4423496873
2	0.3684878239
3	0.3187609339
4	0.2829675938
5	0.2605342694
6	0.2439445522
7	0.2321180982
8	0.2209137307
9	0.2134373272
10	0.2077694222
11	0.2029391134
12	0.1993666501
13	0.1968658436
14	0.1943885019
15	0.192434671
16	0.1894498464
17	0.1870238304
18	0.1854596694
19	0.1840603168
20	0.18281151
21	0.1820268632
22	0.1807856475
23	0.1799934729
24	0.1790764929
25	0.1785877972
26	0.1776985074
27	0.1772304925
28	0.1769107372
29	0.1763019727
30	0.1757560464
31	0.175368644
32	0.1749907735
33	0.1743968428
34	0.1740797412
35	0.1736770823
36	0.1732877318
37	0.1728632924
38	0.1726125709
39	0.1720864554
40	0.1718138003
41	0.1714857534
42	0.1713322004
43	0.1711533934
44	0.1708483969
45	0.1706139152
46	0.1704086581
47	0.1701925609
48	0.1700644893
49	0.1698394045
50	0.1694436742
51	0.1693175844
52	0.1691923467
53	0.1690597975
54	0.1688596214
55	0.1687435592
56	0.1686346067
57	0.1685199694
58	0.1683964888
59	0.1682553986
60	0.16806381
61	0.1679547367
62	0.1678228497
63	0.1677480832
64	0.1675869242
65	0.1674928865
66	0.1673813254
67	0.1673176934
68	0.1672036494
69	0.1670652454
70	0.1669465591
71	0.1668726847
72	0.1666807338
73	0.1665695019
74	0.1665176011
75	0.1664391078
76	0.1662746588
77	0.1661971485
78	0.1661406264
79	0.166034085
80	0.1659573271
81	0.1658721037
82	0.1658085562
83	0.1657247704
84	0.1656869451
85	0.1656007716
86	0.1654677582
87	0.1653929297
88	0.1653481498
89	0.1652911405
90	0.1652210186
91	0.1651465928
92	0.1650698035
93	0.1650101901
94	0.1649612055
95	0.1649123353
96	0.1648140778
97	0.1647724883
98	0.1646758438
99	0.1645991147
100	0.1645114984
101	0.1644781452
102	0.1644370963
103	0.1643933515
104	0.1642802008
105	0.1642149955
106	0.164176632
107	0.16414752
108	0.1640891157
109	0.1640890982
110	0.1640664473
111	0.1640575249
112	0.1639791949
113	0.1639409099
114	0.1638829504
115	0.1638640191
116	0.1638038217
117	0.1637712768
118	0.1637018109
119	0.163624506
120	0.163594725
121	0.1635384323
122	0.1634730233
123	0.1634727419
124	0.1634337937
125	0.1634130791
126	0.1634052779
127	0.1633705796
128	0.1633425252
129	0.16329771
130	0.1632317582
131	0.1631731163
132	0.1631230303
133	0.1630703188
134	0.1630532255
135	0.162976036
136	0.1629397988
137	0.162924397
138	0.1628724961
139	0.1627778973
140	0.1627397592
141	0.1626638963
142	0.1626173808
143	0.1625880408
144	0.1625629544
145	0.1625228011
146	0.1624725812
147	0.1624121095
148	0.1623698651
149	0.1623668513
150	0.1623323799
151	0.1623050326
152	0.162276737
153	0.1622463421
154	0.162236608
155	0.1622160077
156	0.1621733662
157	0.1621369922
158	0.1620635247
159	0.1620117243
160	0.1619603911
161	0.1619511981
162	0.1619393421
163	0.1619199339
164	0.1618725236
165	0.1618255083
166	0.1617968959
167	0.1617713066
168	0.1617708519
169	0.1617381885
170	0.1617176415
171	0.161672243
172	0.1616248517
173	0.1615981438
174	0.1615703206
175	0.1615440747
176	0.161506458
177	0.1614837325
178	0.1614728876
179	0.1614618307
180	0.1614289588
181	0.1614086321
182	0.1613647916
183	0.1613466731
184	0.1613137372
185	0.1612888075
186	0.1612715618
187	0.1612477621
188	0.161208858
189	0.161161304
190	0.1611269301
191	0.1610893701
192	0.1610581077
193	0.1610445873
194	0.1610143869
195	0.1609928222
196	0.1609554655
197	0.1609364138
198	0.1609155784
199	0.1608894175
200	0.1608626375
201	0.160858909
202	0.1608332016
203	0.1608252788
204	0.1607865155
205	0.1607742781
206	0.1607548527
207	0.160742078
208	0.1607250441
209	0.1606684578
210	0.1606168946
211	0.1605952359
212	0.1605814628
213	0.1605303494
214	0.1604548069
215	0.160431788
216	0.1604092406
217	0.1603811794
218	0.1603682088
219	0.1603342667
220	0.1602989282
221	0.1602771603
222	0.1602674499
223	0.1602327619
224	0.1602218213
225	0.160190746
226	0.1601469284
227	0.1601357202
228	0.1600742336
229	0.1600474244
230	0.1600343053
231	0.1600172562
232	0.1599813525
233	0.1599526649
234	0.1599396714
235	0.1599178598
236	0.1598881278
237	0.1598609577
238	0.1598425041
239	0.1597908227
240	0.1597489126
241	0.1597289032
242	0.1596601964
243	0.159633472
244	0.1595971208
245	0.15956104
246	0.1595297539
247	0.1595203447
248	0.1595007408
249	0.159473394
250	0.1594463481
251	0.159430849
252	0.1593932026
253	0.1593472137
254	0.159339018
255	0.1593266626
256	0.1593162138
257	0.1593050266
258	0.1592830009
259	0.1592550145
260	0.159224607
261	0.159203448
262	0.1591734121
263	0.1591603702
264	0.1591397266
265	0.1590923324
266	0.1590690769
267	0.1590421375
268	0.159023917
269	0.1590102754
270	0.1589874771
271	0.1589649228
272	0.1589510584
273	0.1589378839
274	0.158920996
275	0.1588814422
276	0.1588732676
277	0.1588532687
278	0.1588390369
279	0.1588388231
280	0.1588289719
281	0.1588194229
282	0.1587963952
283	0.1587820918
284	0.1587688324
285	0.1587420429
286	0.1587156741
287	0.158700948
288	0.1586844695
289	0.158658685
290	0.1586350643
291	0.1586171985
292	0.1585989779
293	0.1585808286
294	0.158572101
295	0.1585509146
296	0.1585450861
297	0.1585292303
298	0.1585219668
299	0.1585123896
300	0.1584990761
301	0.1584873272
302	0.1584831528
303	0.1584584281
304	0.1584462525
305	0.1584132371
306	0.1583858148
307	0.1583675753
308	0.1583522724
309	0.158343584
310	0.1583288848
311	0.1583080567
312	0.1582551163
313	0.1582490268
314	0.1582364753
315	0.1582139475
316	0.1582019286
317	0.1581683802
318	0.1581551363
319	0.1581430995
320	0.1581352449
321	0.1581184524
322	0.1580905347
323	0.1580754627
324	0.1580479265
325	0.1580294039
326	0.1580069928
327	0.1579781496
328	0.1579576529
329	0.1579417051
330	0.1579222697
331	0.1579066511
332	0.1578928861
333	0.1578762677
334	0.1578622353
335	0.1578375799
336	0.1578200758
337	0.1577989133
338	0.1577727887
339	0.1577568067
340	0.1577378041
341	0.1577216946
342	0.1577071775
343	0.157691758
344	0.1576752466
345	0.157663865
346	0.1576521713
347	0.1576459117
348	0.1576383231
349	0.1576297278
350	0.1576085061
351	0.1575909396
352	0.1575629028
353	0.1575384917
354	0.1575262086
355	0.157499296
356	0.1574867066
357	0.1574688468
358	0.1574525589
359	0.1574346407
360	0.1574295978
361	0.157419367
362	0.1574062582
363	0.1573943058
364	0.1573845792
365	0.1573703703
366	0.1573497343
367	0.157329794
368	0.1573182292
369	0.1573019939
370	0.1572884985
371	0.1572796499
372	0.1572608286
373	0.1572551254
374	0.157236133
375	0.1572108065
376	0.1572067691
377	0.1571894104
378	0.1571552659
379	0.1571430457
380	0.1571266264
381	0.1571152352
382	0.157103908
383	0.1570906611
384	0.1570726185
385	0.1570630614
386	0.1570532607
387	0.1570260799
388	0.1570133433
389	0.1570013573
390	0.1569867787
391	0.1569808201
392	0.1569561561
393	0.1569413605
394	0.156930241
395	0.1569186017
396	0.1569009843
397	0.1568742605
398	0.1568633578
399	0.1568322827
400	0.156821681
401	0.1568115958
402	0.1568059565
403	0.1567780201
404	0.1567677055
405	0.1567532784
406	0.1567429048
407	0.1567312814
408	0.1567077073
409	0.156697578
410	0.1566870778
411	0.1566782064
412	0.1566555941
413	0.1566390036
414	0.1566302463
415	0.1566259551
416	0.1566151045
417	0.156607309
418	0.1565953831
419	0.1565911111
420	0.1565817254
421	0.1565706063
422	0.1565538266
423	0.1565394892
424	0.156535748
425	0.1565163456
426	0.1565129951
427	0.1565035409
428	0.1564810163
429	0.156459618
430	0.1564344728
431	0.1564278751
432	0.1564236707
433	0.1564072524
434	0.1563931851
435	0.1563792893
436	0.1563686074
437	0.1563531221
438	0.1563439724
439	0.1563374617
440	0.1563027782
441	0.1562932435
442	0.1562859341
443	0.1562737121
444	0.1562627183
445	0.1562486645
446	0.1562431073
447	0.1562305295
448	0.1562139778
449	0.1562061582
