iter	Logloss
450	0.1561790868
451	0.1561730434
452	0.1561605228
453	0.1561513153
454	0.1561393172
455	0.156126107
456	0.1561212129
457	0.1561126165
458	0.1561056586
459	0.156091395
460	0.1560727976
461	0.1560682161
462	0.156059461
463	0.1560437404
464	0.1560305642
465	0.1560217566
466	0.1560103566
467	0.1560021155
468	0.1559831479
469	0.1559729909
470	0.1559655576
471	0.155957126
472	0.1559484833
473	0.1559376899
474	0.1559288376
475	0.1559205979
476	0.1559054016
477	0.1558911425
478	0.1558750819
479	0.1558627776
480	0.155848106
481	0.1558305557
482	0.1558247486
483	0.1558132761
484	0.1558023227
485	0.1557872693
486	0.1557774898
487	0.1557718174
488	0.1557632731
489	0.1557583225
490	0.1557342713
491	0.1557221849
492	0.1557122343
493	0.1557025516
494	0.1556935708
495	0.1556835425
496	0.1556718883
497	0.1556605284
498	0.1556599794
499	0.1556563941
